사용일자,노선명,역ID,역명,승차총승객수,하차총승객수,등록일자,호선,구,동,상세주소,전화번호,상세주소_역이름
20200126,1호선,152,종각,17929.0,16042.0,20200129,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20200127,1호선,152,종각,17928.0,15687.0,20200130,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20200128,1호선,152,종각,42924.0,42121.0,20200131,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20200129,1호선,152,종각,46825.0,45634.0,20200201,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20200130,1호선,152,종각,46979.0,45632.0,20200202,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20200131,1호선,152,종각,47725.0,47091.0,20200203,1,종로구,종로1가,서울특별시 종로구 종로1가 54,6110-1311,종각지하철역사
20191201,1호선,153,종로3가,19646.0,17772.0,20191204,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191201,1호선,153,종로3가,19646.0,17772.0,20191204,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191201,3호선,319,종로3가,4815.0,6479.0,20191204,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191201,3호선,319,종로3가,4815.0,6479.0,20191204,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191201,5호선,2535,종로3가,10704.0,8933.0,20191204,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191201,5호선,2535,종로3가,10704.0,8933.0,20191204,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191202,1호선,153,종로3가,34277.0,32405.0,20191205,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191202,1호선,153,종로3가,34277.0,32405.0,20191205,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191202,3호선,319,종로3가,12263.0,14417.0,20191205,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191202,3호선,319,종로3가,12263.0,14417.0,20191205,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191202,5호선,2535,종로3가,15892.0,15237.0,20191205,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191202,5호선,2535,종로3가,15892.0,15237.0,20191205,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191203,1호선,153,종로3가,34957.0,32832.0,20191206,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191203,1호선,153,종로3가,34957.0,32832.0,20191206,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191203,3호선,319,종로3가,12436.0,14552.0,20191206,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191203,3호선,319,종로3가,12436.0,14552.0,20191206,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191203,5호선,2535,종로3가,16274.0,15412.0,20191206,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191203,5호선,2535,종로3가,16274.0,15412.0,20191206,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191204,1호선,153,종로3가,36007.0,33498.0,20191207,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191204,1호선,153,종로3가,36007.0,33498.0,20191207,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191204,3호선,319,종로3가,12692.0,14943.0,20191207,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191204,3호선,319,종로3가,12692.0,14943.0,20191207,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191204,5호선,2535,종로3가,16582.0,16038.0,20191207,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191204,5호선,2535,종로3가,16582.0,16038.0,20191207,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191205,1호선,153,종로3가,35536.0,33702.0,20191208,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191205,1호선,153,종로3가,35536.0,33702.0,20191208,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191205,3호선,319,종로3가,12587.0,14837.0,20191208,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191205,3호선,319,종로3가,12587.0,14837.0,20191208,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191205,5호선,2535,종로3가,17073.0,16054.0,20191208,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191205,5호선,2535,종로3가,17073.0,16054.0,20191208,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
20191206,1호선,153,종로3가,36242.0,35437.0,20191209,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선,6110-1301,종로3가역(1호선)
20191206,1호선,153,종로3가,36242.0,35437.0,20191209,3,종로구,묘동,서울특별시 종로구 묘동 59,6110-3291,종로3가역(3호선)
