company,date,closing_price
에스티팜,2020.01.10,"28,600"
에스티팜,2020.01.09,"28,650"
에스티팜,2020.01.08,"27,300"
에스티팜,2020.01.07,"28,500"
에스티팜,2020.01.06,"27,650"
에스티팜,2020.01.03,"29,050"
에스티팜,2020.01.02,"29,700"
에스티팜,2019.12.30,"29,800"
에스티팜,2019.12.27,"29,700"
에스티팜,2019.12.26,"29,400"
에스티팜,2019.12.24,"27,650"
에스티팜,2019.12.23,"27,950"
에스티팜,2019.12.20,"27,950"
에스티팜,2019.12.19,"28,000"
에스티팜,2019.12.18,"27,500"
에스티팜,2019.12.17,"27,600"
에스티팜,2019.12.16,"26,100"
에스티팜,2019.12.13,"26,450"
에스티팜,2019.12.12,"26,100"
에스티팜,2019.12.11,"26,450"
에스티팜,2019.12.10,"26,550"
에스티팜,2019.12.09,"28,000"
에스티팜,2019.12.06,"28,000"
에스티팜,2019.12.05,"26,650"
에스티팜,2019.12.04,"26,800"
에스티팜,2019.12.03,"25,150"
에스티팜,2019.12.02,"25,950"
에스티팜,2019.11.29,"24,700"
에스티팜,2019.11.28,"23,950"
에스티팜,2019.11.27,"22,800"
에스티팜,2019.11.26,"23,000"
에스티팜,2019.11.25,"22,400"
에스티팜,2019.11.22,"20,750"
에스티팜,2019.11.21,"20,600"
에스티팜,2019.11.20,"21,100"
에스티팜,2019.11.19,"21,750"
에스티팜,2019.11.18,"22,100"
에스티팜,2019.11.15,"22,250"
에스티팜,2019.11.14,"21,300"
에스티팜,2019.11.13,"20,500"
에스티팜,2019.11.12,"19,400"
에스티팜,2019.11.11,"19,250"
에스티팜,2019.11.08,"19,250"
에스티팜,2019.11.07,"18,950"
에스티팜,2019.11.06,"19,200"
에스티팜,2019.11.05,"19,550"
에스티팜,2019.11.04,"19,650"
에스티팜,2019.11.01,"19,600"
에스티팜,2019.10.31,"18,450"
에스티팜,2019.10.30,"18,350"
에스티팜,2019.10.29,"18,800"
에스티팜,2019.10.28,"17,500"
에스티팜,2019.10.25,"17,350"
에스티팜,2019.10.24,"17,500"
에스티팜,2019.10.23,"17,550"
에스티팜,2019.10.22,"17,000"
에스티팜,2019.10.21,"17,200"
에스티팜,2019.10.18,"17,500"
에스티팜,2019.10.17,"18,100"
에스티팜,2019.10.16,"18,250"
에스티팜,2019.10.15,"18,000"
에스티팜,2019.10.14,"17,950"
에스티팜,2019.10.11,"17,450"
에스티팜,2019.10.10,"17,600"
에스티팜,2019.10.08,"17,450"
에스티팜,2019.10.07,"18,400"
에스티팜,2019.10.04,"17,950"
에스티팜,2019.10.02,"17,950"
에스티팜,2019.10.01,"17,950"
에스티팜,2019.09.30,"17,450"
에스티팜,2019.09.27,"17,300"
에스티팜,2019.09.26,"17,300"
에스티팜,2019.09.25,"17,100"
에스티팜,2019.09.24,"17,450"
에스티팜,2019.09.23,"17,450"
에스티팜,2019.09.20,"17,550"
에스티팜,2019.09.19,"18,300"
에스티팜,2019.09.18,"18,100"
에스티팜,2019.09.17,"18,400"
에스티팜,2019.09.16,"18,650"
에스티팜,2019.09.11,"18,100"
에스티팜,2019.09.10,"18,050"
에스티팜,2019.09.09,"19,450"
에스티팜,2019.09.06,"19,600"
에스티팜,2019.09.05,"18,950"
에스티팜,2019.09.04,"18,900"
에스티팜,2019.09.03,"18,100"
에스티팜,2019.09.02,"17,000"
에스티팜,2019.08.30,"15,700"
에스티팜,2019.08.29,"15,650"
에스티팜,2019.08.28,"14,350"
에스티팜,2019.08.27,"13,400"
에스티팜,2019.08.26,"13,400"
에스티팜,2019.08.23,"14,250"
에스티팜,2019.08.22,"14,500"
에스티팜,2019.08.21,"14,650"
에스티팜,2019.08.20,"14,500"
에스티팜,2019.08.19,"14,000"
에스티팜,2019.08.16,"13,950"
에스티팜,2019.08.14,"14,100"
에스티팜,2019.08.13,"13,900"
에스티팜,2019.08.12,"14,050"
에스티팜,2019.08.09,"14,100"
에스티팜,2019.08.08,"13,900"
에스티팜,2019.08.07,"13,400"
에스티팜,2019.08.06,"12,800"
에스티팜,2019.08.05,"13,100"
에스티팜,2019.08.02,"14,250"
에스티팜,2019.08.01,"14,000"
에스티팜,2019.07.31,"14,150"
에스티팜,2019.07.30,"14,200"
에스티팜,2019.07.29,"13,950"
에스티팜,2019.07.26,"14,700"
에스티팜,2019.07.25,"15,050"
에스티팜,2019.07.24,"15,500"
